Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,26.0,NYK,NBA,C,44.0,23.0,1128.0,10.7,20.0,0.536,0.3,0.9,0.318,10.4,19.1,0.547,4.5,5.5,0.814,7.3,12.4,19.7,3.6,0.8,0.7,3.4,4.5,26.2,117.0,112.0,21.8,0.585,0.047,0.276,15.5,27.5,21.4,13.1,0.8,1.3,13.1,22.9,2.4,0.9,3.4,0.143,2.5,-1.6,0.8,0.8
2018-19,26.0,POR,NBA,C,23.0,8.0,512.0,11.7,20.3,0.577,0.3,1.1,0.25,11.4,19.2,0.596,4.7,6.4,0.735,8.1,10.6,18.7,3.0,1.3,0.9,3.7,5.8,28.5,122.0,109.0,23.5,0.614,0.056,0.316,18.3,22.8,20.6,9.9,1.3,1.4,13.7,23.4,1.5,0.6,2.1,0.196,2.6,-1.3,1.3,0.4
2019-20,27.0,BOS,NBA,C,58.0,7.0,983.0,9.8,17.1,0.572,0.0,0.3,0.143,9.7,16.7,0.581,3.4,4.9,0.707,8.0,13.2,21.2,2.7,1.1,2.0,2.7,4.9,23.0,123.0,104.0,22.4,0.599,0.02,0.284,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,2.6,1.8,4.4,0.214,1.8,-0.3,1.5,0.9
2020-21,28.0,POR,NBA,C,72.0,35.0,1758.0,9.4,15.6,0.604,0.0,0.1,0.25,9.4,15.5,0.607,3.5,4.6,0.774,7.9,14.2,22.1,2.3,0.9,1.3,2.2,4.7,22.4,133.0,113.0,22.4,0.636,0.007,0.292,16.8,31.9,24.2,7.2,0.9,2.4,11.0,17.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2
2021-22,29.0,BOS,NBA,C,35.0,1.0,411.0,6.2,11.7,0.526,0.2,0.6,0.4,5.9,11.1,0.533,2.9,3.4,0.857,7.4,12.0,19.3,1.0,0.6,1.7,2.4,5.1,15.5,121.0,105.0,15.0,0.585,0.052,0.289,16.5,25.4,21.0,2.7,0.6,3.1,15.5,13.9,0.6,0.7,1.4,0.16,-1.2,-0.2,-1.4,0.1
Career,,,NBA,,748.0,259.0,16101.0,10.7,19.5,0.548,0.1,0.5,0.289,10.6,19.0,0.555,4.5,5.8,0.777,6.9,11.2,18.2,2.0,0.9,1.1,3.4,5.0,26.1,116.0,108.0,20.8,0.59,0.025,0.299,15.2,24.6,19.9,6.7,0.9,1.9,13.2,22.2,36.0,16.8,52.8,0.157,1.5,-1.7,-0.1,7.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,265.0,87.0,5416.0,10.0,20.0,0.501,0.1,0.4,0.318,9.9,19.5,0.505,3.9,5.3,0.744,5.9,9.3,15.2,1.4,0.9,1.1,3.8,5.3,24.1,104.0,108.0,16.3,0.541,0.021,0.265,12.9,20.7,16.7,4.7,0.9,1.6,14.6,22.6,4.8,4.1,8.9,0.079,-0.8,-2.2,-3.0,-1.3
3 seasons,,OKC,NBA,,180.0,27.0,4063.0,12.3,22.0,0.562,0.2,0.8,0.286,12.1,21.2,0.572,6.3,7.9,0.788,7.0,10.5,17.5,1.6,0.9,1.0,3.5,4.8,31.2,120.0,106.0,24.1,0.612,0.035,0.362,15.8,22.5,19.3,5.6,0.9,1.6,12.2,25.0,12.9,4.8,17.6,0.208,3.4,-1.8,1.6,3.7
2 seasons,,NYK,NBA,,115.0,94.0,2958.0,11.2,19.6,0.57,0.1,0.4,0.292,11.0,19.2,0.576,4.3,5.2,0.834,7.4,13.2,20.6,3.1,0.9,0.9,3.3,4.9,26.8,120.0,110.0,23.1,0.612,0.02,0.265,16.2,29.4,22.8,10.8,0.9,1.6,13.2,22.2,7.9,3.0,10.9,0.177,3.0,-1.3,1.7,2.7
2 seasons,,POR,NBA,,95.0,43.0,2270.0,9.9,16.6,0.597,0.1,0.3,0.25,9.8,16.3,0.604,3.8,5.0,0.763,7.9,13.4,21.3,2.5,1.0,1.2,2.5,4.9,23.7,130.0,112.0,22.7,0.63,0.021,0.299,17.2,29.9,23.4,7.8,1.0,2.2,11.8,18.8,7.2,2.4,9.6,0.202,2.2,-1.4,0.8,1.6
2 seasons,,BOS,NBA,,93.0,8.0,1394.0,8.7,15.5,0.562,0.1,0.4,0.25,8.6,15.1,0.57,3.3,4.4,0.74,7.8,12.8,20.6,2.2,0.9,1.9,2.7,5.0,20.8,123.0,104.0,20.2,0.596,0.027,0.285,17.5,27.9,22.8,7.0,0.9,3.6,13.2,17.8,3.2,2.6,5.7,0.198,0.9,-0.2,0.7,0.9
